Date,Close/Last,Volume,Open,High,Low
01/23/2024,$205.58,8763276,$200.00,$205.97,$197.59
01/22/2024,$199.08,6471888,$196.75,$202.32,$196.51
01/19/2024,$193.12,4523267,$187.59,$193.14,$186.72
01/18/2024,$186.61,4989985,$190.77,$191.54,$184.39
01/17/2024,$188.12,3756668,$185.77,$188.14,$182.53
01/16/2024,$188.02,4833391,$190.00,$191.205,$186.5736
01/12/2024,$191.26,4982352,$190.00,$196.08,$189.2217
01/11/2024,$195.62,5012565,$199.20,$201.60,$195.53
01/10/2024,$197.40,4179593,$197.28,$200.54,$194.65
01/09/2024,$196.90,3153581,$195.65,$198.27,$194.75
01/08/2024,$196.35,4562048,$190.77,$196.90,$190.77
01/05/2024,$189.12,5269755,$184.57,$191.41,$184.57
01/04/2024,$183.72,4270281,$182.29,$187.15,$180.9525
01/03/2024,$184.21,4292018,$185.00,$187.3537,$183.01
01/02/2024,$189.12,5173265,$195.00,$196.23,$187.53
12/29/2023,$199.00,3598227,$200.00,$201.88,$198.34
12/28/2023,$201.23,3823822,$198.78,$201.74,$197.70
12/27/2023,$198.71,4957172,$200.00,$200.97,$197.04
12/26/2023,$198.56,3639359,$195.90,$199.3191,$193.80
12/22/2023,$195.67,2448826,$197.02,$198.0204,$194.10
12/21/2023,$196.79,4213726,$195.50,$196.95,$193.742
12/20/2023,$194.28,3222933,$198.12,$199.74,$194.13
12/19/2023,$199.02,2963399,$200.00,$200.87,$198.3359
12/18/2023,$198.97,3461687,$198.10,$200.01,$196.55
12/15/2023,$199.01,6241938,$198.00,$200.85,$197.1006
12/14/2023,$200.86,7937720,$198.57,$202.8299,$196.11
12/13/2023,$196.55,5331339,$195.00,$197.43,$191.26
12/12/2023,$193.49,3825737,$190.84,$194.21,$189.69
12/11/2023,$192.99,7350847,$188.51,$196.66,$187.77
12/08/2023,$190.67,5294921,$187.00,$191.64,$185.80
12/07/2023,$187.31,4824379,$184.61,$188.78,$183.03
12/06/2023,$184.47,5358674,$187.41,$190.62,$184.40
12/05/2023,$186.16,4060490,$186.53,$188.52,$184.08
12/04/2023,$188.30,8530965,$184.81,$191.00,$183.61
12/01/2023,$185.97,10315160,$185.25,$188.56,$180.80
